Отметка времени,Фамилия и имя ,Возраст ,Класс ,"1.  Если уж он(а) чего-то требует от меня, то обязательно добьется этого.",2. Он(а) всегда наказывает меня за мои плохие поступки.,"3. Я редко говорю ему (ей), куда илу и когда вернусь.",4. Он(а) считает меня вполне самостоятельным человеком.,"5. Могу рассказать ему (ей) обо всем, что со мной происходит.","6. Он(а) думает, что я ничего не добьюсь в жизни.","7. Он(а) чаше замечает во мне недостатки, чем достоинства.",8. Он(а) часто поручает мне важные и трудные дела.,9. Нам трудно достичь взаимного согласия.,"10. Иногда он(а) может разрешить то, что еще вчера запрещал(а).",11. Я всегда учитываю его (ее) точку зрения.,"12. Я бы хотел(а), чтобы мои будущие дети относились ко мне так же, как  к нему (к ней).","13. Я редко делаю с первого раза то, о чем он(а) меня просит.",14. Он(а) меня редко ругает.,15. Он(а) старается контролировать все мои действия и поступки.,"16. Считает, что главное - это слушаться его (ее).","17. Если у меня случается несчастье, в первую очередь я делюсь с ним (с ней).",18. Он(а) не разделяет моих увлечений.,"19. Он(а) не считает меня таким умным и способным, как ему (ей) хотелось бы.",20. Он(а) может признать свою неправоту и извиниться передо мной.,21. Он(а) часто идет у меня на поводу.,"22. Никогда не скажешь наверняка, как он(а) отнесется к моим словам.","23. Могу сказать, что он(а) для меня авторитетный человек.",24. Мне нравятся наши с ней (с ним) отношения.,"25. Дома он(а) дает мне больше обязанностей, чем в семьях большинства моих друзей.","26. Бывает, что применяет ко мне физические наказания.","27. Даже если я не хочу, мне приходится поступать так, как желает он(а).","28. Считает, что он(а) лучше знает, что мне нужно.",29. Он(а) всегда мне сочувствует.,30. Мне кажется он(а) меня понимает.,31. Он(а) хотела бы во мне многое изменить.,32. При принятии семейных решений он(а) всегда учитывает мое мнение.,33. Он(а) всегда соглашается с моими идеями и предложениями.,"34. Никогда не знаешь, что от него (нее) ожидать.",35. Он(а) является для меня эталоном и примером во всем.,"36. Я считаю, что он(а) правильно воспитывает меня.",37. Он(а) предъявляет ко мне много требований.,38. По характеру он(а) мягкий человек.,"39. Обычно он(а) мне позволяет возвращаться домой, мота я захочу.",40. Он(а) стремится оградить меня от трудностей и неприятностей жизни.,"41. Он(а) не допускает, чтобы я подмечал его (ее) слабости и недостатки.","42. Я чувствую, что ему (ей) нравится мой характер.",43. Он(а) часто критикует меня по мелочам.,44. Он(а) всегда с готовностью меня выслушивает.,45. Мы расходимся с ним (с ней) по очень многим вопросам.,"46. Он(а) наказывает меня за такие поступки, какие совершает сам(а).",47. Я разделяю большинство его (ее) взглядов.,48. Я устаю от повседневного общения с ним (с ней).,"49. Он(а) часто заставляет меня делать то, что мне не хочется.","50. Прощает мне то, за что другие наказали бы.","51. Он(а) хочет знать обо мне все: о чем я думаю, как отношусь к своим друзьям и т.п.","52. Я не советуюсь с ним (с ней), с кем мне дружить.","53. Могу сказать, что он(а) — самый близкий мне человек.",54. Он(а) все время высказывает недовольство мной.,"55. Думаю, он(а) приветствует мое поведение.","56. Он(а) принимает участие в делах, которые придумываю я.",57. Мы по-разному с ним (с ней) представляем мою будущую жизнь.,"58. Одинаковые мои поступки могут вызвать у него (нее) то упреки, то похвалу.",59. Мне хотелось бы быть похожим на него (нее).,"60. Я хочу, чтобы он(а) всегда относился(лась) ко мне так же, как сейчас.",1. Что тебе ближе?  ,2. Что тебе ближе?  ,3. Что тебе ближе?  ,4. Что тебе ближе?  ,5. Что тебе ближе?  ,6. Что тебе ближе?  ,7. Что тебе ближе?  ,8. Что тебе ближе?  ,9. Что тебе ближе?  ,10. Что тебе ближе?  ,11. Что тебе ближе?  ,12. Что тебе ближе?  ,13. Что тебе ближе?  ,14. Что тебе ближе?  ,15. Что тебе ближе?  ,16. Что тебе ближе?  ,17. Что тебе ближе?  ,18. Что тебе ближе?  ,19. Что тебе ближе?  ,20. Что тебе ближе?  ,21. Что тебе ближе?  ,22. Что тебе ближе?  ,23. Что тебе ближе?  ,24. Что тебе ближе?  ,25. Что тебе ближе?  ,26. Что тебе ближе?  ,27. Что тебе ближе?  ,28. Что тебе ближе?  ,29. Что тебе ближе?  ,30. Что тебе ближе?  ,31. Что тебе ближе?  ,32. Что тебе ближе?  ,33. Что тебе ближе?  ,34. Что тебе ближе?  ,35. Что тебе ближе?  ,36. Что тебе ближе?  ,37. Что тебе ближе?  ,38. Что тебе ближе?  ,39. Что тебе ближе?  ,40. Что тебе ближе?  ,41. Что тебе ближе?  ,42. Что тебе ближе?  ,1. Требует общения с разными людьми,2. Нравится родителям,3. Предполагает высокое чувство ответственности,4. Требует переезда на новое место жительства,5. Соответствует моим способностям,6. Позволяет ограничиться имеющимся оборудованием,7. Дает возможность приносить пользу людям,8. Способствует умственному и физическому развитию,9. Является высокооплачиваемой,10. Позволяет работать близко от дома,11. Является престижной,12. Дает возможности для роста профессионального мастерства,13. Единственно возможная в сложившихся обстоятельствах,14. Позволяет реализовать способности к руководящей работе,15. Является привлекательной,16. Близка к любимому школьному предмету,17. Позволяет сразу получить хороший результат труда для других,18. Избрана моими друзьями,19. Позволяет использовать профессиональные умения вне работы,20. Дает большие возможности проявить творчество
2025/04/19 12:00:44 PM GMT+3,Федор,14,10,3,1,5,1,2,3,4,5,3,3,2,2,5,3,5,4,1,4,4,3,2,3,3,3,4,5,4,3,3,3,4,2,3,4,3,3,3,2,4,3,3,3,5,2,3,4,1,2,4,3,3,4,2,5,2,4,5,3,2,3,2,2,2,2,1,1,2,2,2,2,2,2,1,1,2,1,1,2,2,1,2,2,1,2,2,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,2,1,2,5,2,5,3,3,1,1,5,3,3,3,5,4,4,1,3,4,3,5
2025/10/04 12:58:50 AM GMT+3,Виктория,15,9е,2,5,2,4,2,4,4,4,4,5,2,1,3,2,4,5,2,5,3,1,2,3,3,1,3,1,4,3,1,1,5,2,3,2,1,1,3,1,3,2,3,3,5,2,4,5,1,3,4,2,2,5,1,3,2,1,5,5,1,3,2,1,1,2,2,1,1,2,2,1,2,1,1,1,1,1,2,2,2,2,1,1,1,2,1,1,1,1,2,2,2,2,1,2,2,1,2,1,1,1,2,2,3,1,3,4,2,2,5,5,1,4,3,2,5,5,5,3,2,4,5,3
2025/02/23 04:01:08 AM GMT+3,Екатерина,15,Студент,4,2,2,5,5,1,1,3,1,2,4,4,3,5,1,3,5,1,1,3,3,2,4,5,1,2,3,2,4,4,1,5,4,2,5,5,1,4,4,3,3,4,2,5,1,1,5,1,2,3,5,3,5,1,4,3,4,1,5,5,1,1,2,1,2,1,1,2,1,2,1,2,1,1,2,2,1,2,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2,2,1,2,1,1,2,1,2,2,4,4,2,3,5,1,1,5,3,2,5,2,4,4,1,3,3,5,2,4
2025/09/03 08:59:43 AM GMT+3,Тимофей,15,Студент,3,2,2,3,3,1,2,3,2,3,3,3,2,3,4,3,3,2,3,3,2,4,2,3,3,2,3,3,3,2,3,3,4,4,2,3,3,4,2,2,4,3,4,3,3,3,3,3,3,3,4,3,3,4,4,2,2,3,2,3,2,1,1,2,2,1,2,1,1,2,2,2,1,1,2,1,1,2,1,2,1,1,1,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,1,2,4,4,5,3,3,3,2,3,2,4,4,2,1,5,4,1,1,2,1,4
2025/03/01 01:11:12 AM GMT+3,Елена,15,10,2,4,2,3,4,1,1,3,1,3,5,3,2,3,3,3,2,3,3,2,3,3,4,2,4,3,3,3,3,3,2,3,2,3,3,3,3,2,3,3,3,3,3,2,2,3,2,3,4,3,4,2,3,4,2,3,2,3,3,4,1,1,2,1,2,2,2,2,2,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,2,1,1,1,2,1,1,2,1,2,1,2,2,2,2,1,1,1,4,2,1,1,1,4,2,4,3,1,3,4,2,2,3,5,5,1,1,4
2025/09/03 07:41:31 AM GMT+3,Марк,14,9е,3,2,4,5,5,1,1,2,4,1,5,3,4,5,2,1,4,3,3,5,2,1,3,4,3,1,4,2,4,4,2,5,2,1,5,4,3,3,4,3,5,3,2,5,3,2,3,1,3,4,3,5,4,1,3,4,3,1,5,5,1,2,1,2,2,2,1,1,2,2,1,1,1,1,1,2,1,1,1,2,2,1,1,1,2,2,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,2,1,1,5,4,1,1,3,2,3,3,1,5,5,4,1,5,3,2,1,1
2025/03/29 12:13:56 PM GMT+3,Сергей,15,Студент,2,3,1,2,4,2,1,3,3,3,4,2,4,3,2,4,3,3,3,3,3,3,2,4,3,3,3,4,4,4,3,3,3,3,3,2,4,3,4,4,3,3,4,3,3,2,3,3,2,4,4,2,3,3,2,2,3,3,3,4,1,2,2,2,1,2,2,1,1,1,2,2,1,1,2,2,2,1,2,1,1,2,1,1,1,1,1,2,2,1,2,1,1,2,1,2,1,1,2,2,1,2,5,2,4,1,3,3,3,5,3,5,3,1,1,5,1,4,2,3,3,4
2025/05/12 02:53:47 PM GMT+3,Богдан,15,10,4,1,4,4,3,2,3,2,2,1,2,4,3,5,2,1,2,3,1,5,3,1,4,4,1,1,2,2,3,4,3,2,3,1,2,4,2,2,4,4,2,3,2,3,3,3,5,1,2,4,1,5,4,3,3,2,3,1,3,2,2,2,2,2,2,2,1,2,1,2,1,1,1,1,1,2,2,1,2,2,1,1,2,2,1,1,1,1,1,1,2,1,2,1,1,1,2,2,2,2,2,2,1,2,1,4,5,5,3,4,4,1,4,5,1,1,4,4,1,1,2,4
2025/07/19 11:14:37 AM GMT+3,Юлия,16,9Е,3,4,1,3,5,4,2,4,1,4,5,4,4,3,3,3,5,3,3,5,2,3,5,3,3,1,2,4,4,4,4,3,4,3,3,4,2,2,3,5,1,2,3,5,3,2,3,1,1,4,4,3,5,3,2,5,3,1,4,3,1,1,2,2,2,1,1,2,2,1,1,2,1,1,1,1,2,1,1,1,2,2,2,1,2,2,1,1,2,1,2,1,1,1,1,2,2,1,1,1,2,2,3,5,5,3,5,1,3,2,5,1,3,4,3,2,2,1,2,1,3,1
2025/09/03 01:50:52 PM GMT+3,Вероника,16,9Е,3,2,4,4,5,1,1,3,4,1,5,4,5,5,2,1,5,2,3,5,1,2,4,5,3,1,3,2,4,5,3,4,2,2,3,3,3,3,4,3,5,2,2,5,3,1,4,1,4,5,3,5,4,1,2,4,3,1,4,4,1,2,2,1,2,1,2,1,1,2,1,2,1,1,1,2,1,1,1,2,1,2,1,2,2,1,1,2,1,1,1,1,2,2,2,1,1,1,2,2,2,1,2,5,2,5,1,4,4,1,4,2,4,4,5,5,3,2,1,3,4,1
2025/09/30 04:24:02 AM GMT+3,Михаил,14,10,4,1,4,4,2,1,3,3,1,1,3,4,2,3,2,2,1,3,2,5,2,1,4,4,1,2,2,4,4,4,3,2,4,1,4,4,2,3,4,3,2,4,2,3,3,2,5,2,3,3,1,5,3,3,4,2,2,1,2,3,1,1,2,2,1,2,1,1,1,2,2,1,1,1,2,2,2,2,2,1,1,2,2,1,1,2,1,1,2,1,1,2,1,2,1,2,2,2,2,1,2,1,3,1,5,3,5,4,1,1,4,1,3,2,1,1,4,4,1,3,5,3
2025/05/29 07:10:16 PM GMT+3,Арина,14,9е,4,3,1,4,5,2,2,3,3,4,4,4,3,2,4,2,5,1,1,5,1,1,5,5,1,2,2,3,5,4,1,3,2,2,5,5,1,3,2,3,4,4,2,5,1,2,3,2,2,3,4,5,5,1,5,5,2,1,4,5,2,1,2,2,1,2,1,2,1,2,2,1,1,1,1,1,1,2,1,2,2,1,1,2,2,1,1,2,1,2,1,2,1,1,1,2,2,1,1,2,1,1,1,1,2,2,5,5,3,3,4,1,2,2,2,2,3,1,1,3,4,3
2025/08/03 04:57:47 PM GMT+3,Елена,16,9,3,2,1,5,5,1,1,4,2,3,3,5,3,1,4,2,5,2,1,5,1,1,4,5,1,2,4,4,5,5,2,4,3,2,4,5,1,3,2,2,4,5,1,4,2,1,4,1,3,3,4,4,5,1,5,4,1,2,3,5,1,1,1,2,1,1,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,1,2,1,2,1,1,2,2,1,1,2,1,2,1,1,2,1,1,1,1,1,2,3,1,5,2,2,4,4,3,4,2,4,1,4,1,4,3,1,3,2
2025/02/20 02:26:08 PM GMT+3,София,15,9,5,1,4,4,5,1,2,4,2,1,5,4,5,5,1,1,4,3,2,5,1,2,4,5,3,1,4,3,4,5,3,4,2,1,4,3,3,2,5,3,5,4,1,5,3,2,3,1,3,4,3,4,4,1,3,4,3,1,4,5,1,2,2,1,1,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,1,1,2,1,2,1,2,2,1,1,2,2,2,1,1,2,2,1,1,1,1,2,1,5,4,4,1,4,2,1,3,5,1,3,1,5,3,3,5,1,3,2
2025/08/03 12:39:05 PM GMT+3,Маргарита,15,10,4,2,2,5,5,1,1,4,1,4,4,5,3,2,5,2,5,1,1,5,1,2,5,5,1,2,3,3,4,5,1,4,2,1,5,5,1,3,1,2,4,3,2,5,2,1,5,1,3,3,3,4,5,1,5,5,1,1,4,4,2,2,1,2,2,1,1,1,2,1,1,2,1,1,2,2,1,2,2,1,2,1,2,2,1,1,1,1,2,2,1,1,1,1,2,1,2,1,2,1,2,2,4,1,5,3,1,5,4,4,3,1,5,4,1,1,3,3,5,2,4,1
2025/12/13 10:45:10 PM GMT+3,Марина,15,9,3,3,2,3,3,1,1,3,3,3,4,3,3,4,4,3,2,3,3,3,2,3,2,2,2,2,3,2,3,3,2,3,2,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,2,3,4,2,2,1,1,1,1,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,2,1,2,1,2,1,1,2,2,1,1,1,2,2,1,2,1,4,1,4,3,5,5,2,4,4,5,3,3,4,3,3,5,4,2
2025/04/24 12:40:02 AM GMT+3,Ольга,15,9,4,2,1,5,5,1,1,4,3,3,4,5,3,2,4,1,5,2,2,5,1,2,5,5,1,2,2,2,5,5,2,4,3,2,5,5,1,4,3,3,4,4,2,5,1,2,3,1,3,3,3,5,5,2,4,5,1,1,4,5,1,1,2,2,2,2,1,1,2,2,2,1,1,1,1,2,2,1,1,2,2,1,2,1,1,1,1,2,2,2,1,1,1,2,2,1,2,1,1,1,1,2,2,2,1,1,2,1,3,4,4,3,3,4,1,3,2,3,4,4,1,1
2025/05/26 03:07:13 AM GMT+3,Сергей,15,9,3,4,2,2,4,1,1,2,3,3,4,3,4,4,3,3,4,2,4,3,4,2,2,3,3,2,3,3,3,4,2,3,4,4,4,3,4,2,3,2,3,2,3,4,4,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,1,1,2,1,2,2,1,2,1,1,2,1,1,1,2,2,2,1,2,1,1,1,2,1,2,1,1,2,2,2,2,1,2,1,1,1,1,2,2,1,1,2,5,5,3,3,5,1,1,1,3,5,3,1,3,1,4,2,2,1,2,1
2025/12/11 03:22:17 AM GMT+3,Богдан,16,Студент,3,2,1,3,5,4,3,4,1,4,5,4,3,2,4,4,5,2,4,5,3,3,5,4,2,1,3,4,3,5,5,4,4,3,4,3,3,3,3,5,3,3,3,4,3,1,4,3,2,5,4,4,5,2,2,5,4,1,2,3,1,2,2,1,2,1,1,2,1,2,2,1,1,1,1,2,1,2,2,1,1,1,2,1,1,1,1,2,1,2,2,2,1,1,1,1,1,2,1,2,1,2,5,3,3,2,3,4,3,3,5,4,1,4,2,3,1,4,3,5,5,4
2025/07/01 11:10:31 AM GMT+3,Александра,16,10,5,1,4,4,3,1,2,2,3,1,3,3,2,4,2,1,2,2,1,5,4,2,4,5,1,1,2,2,4,4,3,4,3,1,4,4,2,4,5,4,3,3,3,4,2,2,5,3,3,4,2,5,3,1,4,1,3,2,3,3,2,1,2,2,1,2,2,2,2,2,2,1,1,1,2,2,2,1,2,2,2,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,2,1,2,4,3,3,2,4,1,3,3,5,4,2,5,3,1,1,1,2,3,4,4
2025/12/09 09:00:06 PM GMT+3,Даниил,15,9Е,4,1,1,5,5,1,1,4,1,2,4,3,2,4,2,1,5,1,1,3,3,2,5,5,1,1,3,1,4,5,1,5,4,1,5,4,2,5,4,4,2,4,1,5,1,1,5,1,1,3,5,2,5,1,4,5,4,2,4,5,1,2,2,1,1,1,2,1,2,1,1,2,1,1,2,2,1,1,2,1,2,1,2,2,1,1,1,2,2,1,1,1,1,1,2,2,2,1,2,2,1,2,3,2,4,1,3,4,4,3,2,4,5,5,1,2,4,4,4,5,1,1
2025/03/27 08:26:36 PM GMT+3,Ирина,16,9е,2,3,2,4,5,2,1,3,2,3,3,3,3,4,3,2,2,2,3,3,3,3,2,3,4,3,3,3,3,2,2,2,3,3,3,3,2,3,2,3,3,3,2,2,4,2,3,3,3,3,3,3,2,3,3,3,3,4,4,3,1,1,1,2,2,2,2,2,2,1,2,2,1,1,1,2,2,1,2,1,2,2,2,1,2,2,2,2,1,1,1,1,2,2,2,2,1,2,1,1,1,2,2,1,1,4,3,5,1,1,3,1,5,4,4,1,1,1,3,4,2,5
